2026-1-6 13:19:09-debug: asset-db:require-engine-code (534ms)
2026-1-6 13:19:09-log: Cannot access game frame or container.
2026-1-6 13:19:09-log: meshopt wasm decoder initialized
2026-1-6 13:19:09-log: [bullet]:bullet wasm lib loaded.
2026-1-6 13:19:09-log: [box2d]:box2d wasm lib loaded.
2026-1-6 13:19:09-log: Cocos Creator v3.8.7
2026-1-6 13:19:09-log: Using legacy pipeline
2026-1-6 13:19:09-log: Forward render pipeline initialized.
2026-1-6 13:19:09-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:28.72MB, end 79.89MB, increase: 51.18MB
2026-1-6 13:19:11-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:79.97MB, end 275.19MB, increase: 195.23MB
2026-1-6 13:19:11-debug: run package(linux) handler(enable) success!
2026-1-6 13:19:11-debug: run package(mac) handler(enable) success!
2026-1-6 13:19:11-debug: run package(linux) handler(enable) start
2026-1-6 13:19:11-debug: run package(mac) handler(enable) start
2026-1-6 13:19:11-debug: run package(migu-mini-game) handler(enable) start
2026-1-6 13:19:11-debug: run package(migu-mini-game) handler(enable) success!
2026-1-6 13:19:11-debug: run package(native) handler(enable) success!
2026-1-6 13:19:11-debug: run package(native) handler(enable) start
2026-1-6 13:19:11-debug: run package(oppo-mini-game) handler(enable) start
2026-1-6 13:19:11-debug: run package(oppo-mini-game) handler(enable) success!
2026-1-6 13:19:11-debug: run package(ohos) handler(enable) success!
2026-1-6 13:19:11-debug: run package(runtime-dev-tools) handler(enable) start
2026-1-6 13:19:11-debug: run package(runtime-dev-tools) handler(enable) success!
2026-1-6 13:19:11-debug: run package(taobao-mini-game) handler(enable) start
2026-1-6 13:19:11-debug: run package(ohos) handler(enable) start
2026-1-6 13:19:11-debug: run package(taobao-mini-game) handler(enable) success!
2026-1-6 13:19:11-debug: run package(vivo-mini-game) handler(enable) start
2026-1-6 13:19:11-debug: run package(vivo-mini-game) handler(enable) success!
2026-1-6 13:19:11-debug: run package(web-desktop) handler(enable) start
2026-1-6 13:19:11-debug: run package(web-desktop) handler(enable) success!
2026-1-6 13:19:11-debug: run package(web-mobile) handler(enable) start
2026-1-6 13:19:11-debug: run package(web-mobile) handler(enable) success!
2026-1-6 13:19:11-debug: run package(wechatgame) handler(enable) success!
2026-1-6 13:19:11-debug: run package(wechatgame) handler(enable) start
2026-1-6 13:19:11-debug: run package(wechatprogram) handler(enable) start
2026-1-6 13:19:11-debug: run package(wechatprogram) handler(enable) success!
2026-1-6 13:19:11-debug: run package(xiaomi-quick-game) handler(enable) start
2026-1-6 13:19:11-debug: run package(windows) handler(enable) start
2026-1-6 13:19:11-debug: run package(windows) handler(enable) success!
2026-1-6 13:19:11-debug: run package(xiaomi-quick-game) handler(enable) success!
2026-1-6 13:19:11-debug: run package(cocos-service) handler(enable) start
2026-1-6 13:19:11-debug: run package(cocos-service) handler(enable) success!
2026-1-6 13:19:11-debug: run package(im-plugin) handler(enable) start
2026-1-6 13:19:11-debug: run package(placeholder) handler(enable) success!
2026-1-6 13:19:11-debug: run package(im-plugin) handler(enable) success!
2026-1-6 13:19:11-debug: run package(placeholder) handler(enable) start
2026-1-6 13:19:11-debug: asset-db:worker-init: initPlugin (1212ms)
2026-1-6 13:19:11-debug: [Assets Memory track]: asset-db:worker-init start:28.70MB, end 276.07MB, increase: 247.37MB
2026-1-6 13:19:11-debug: Run asset db hook programming:beforePreStart success!
2026-1-6 13:19:11-debug: Run asset db hook programming:beforePreStart ...
2026-1-6 13:19:11-debug: Run asset db hook engine-extends:beforePreStart ...
2026-1-6 13:19:11-debug: Run asset db hook engine-extends:beforePreStart success!
2026-1-6 13:19:11-debug: Preimport db  success
2026-1-6 13:19:11-debug: Preimport db  success
2026-1-6 13:19:11-debug: Run asset db hook programming:afterPreStart ...
2026-1-6 13:19:11-debug: starting packer-driver...
2026-1-6 13:19:11-debug: asset-db-hook-programming-beforePreStart (31ms)
2026-1-6 13:19:11-debug: asset-db:worker-init (1901ms)
2026-1-6 13:19:11-debug: asset-db-hook-engine-extends-beforePreStart (30ms)
2026-1-6 13:19:21-debug: initialize scripting environment...
2026-1-6 13:19:21-debug: [[Executor]] prepare before lock
2026-1-6 13:19:21-debug: Set detail map pack:///resolution-detail-map.json: {}
2026-1-6 13:19:21-debug: [[Executor]] prepare after unlock
2026-1-6 13:19:21-debug: Run asset db hook engine-extends:afterPreStart ...
2026-1-6 13:19:21-debug: Run asset db hook programming:afterPreStart success!
2026-1-6 13:19:21-debug: asset-db-hook-programming-afterPreStart (10372ms)
2026-1-6 13:19:21-debug: recompile effect.bin success
2026-1-6 13:19:21-debug: Run asset db hook engine-extends:afterPreStart success!
2026-1-6 13:19:21-debug: Start up the 'internal' database...
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\chunksbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default-terrainbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_cubemapbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_file_contentbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_fontsbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_materialsbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_prefabbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_renderpipelinebackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_skyboxbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_uibackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\effectsbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\dependenciesbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\physicsbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\gizmobackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\toolsbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: asset-db-hook-engine-extends-afterPreStart (214ms)
2026-1-6 13:19:21-debug: asset-db:worker-effect-data-processing (213ms)
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\chunks\post-processbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\chunks\builtinbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\chunks\legacybackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\chunks\lighting-modelsbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\chunks\commonbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\chunks\shading-entriesbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\chunks\surfacesbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_file_content\animation-clipbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_file_content\animation-graphbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_file_content\animation-graph-variantbackground: #aaff85; color: #000;color: #000;
2026-1-6 13:19:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.7\resources\resources\3d\engine\editor\assets\default_file_content\animation-maskbackground: #aaff85; color: #000;color: #000;
